,journalist,organization,gender,created_at,id,text
0,Weiss,N12,Female,2020-12-07 21:15:46,1336056832406720515,פעם חודשים הסבירו שמטרה למנוע קריסה מערכת הבריאות ולהרוויח זמן להערך להתמודד המגפה
1,Weiss,N12,Female,2020-12-06 14:49:05,1335597135354613761,השתנה הסגר הקודם לזה שמשרד הבריאות דורש אכיפהיוק קנסות יוק עצירת יבוא הנגיף מחול דרישה להציג בדיק
2,Weiss,N12,Female,2020-12-06 08:30:21,1335501822493122560,המירוץ אילוז לראשות עריית טבריה בגיל 36 יצגה נשיא לשעבר קצב וראש ממשלה
3,Weiss,N12,Female,2020-12-05 16:53:24,1335266032752144386,n12news לב שבור לב שלם סיפורם הזוגות שהתאהבו מחדש והצליחו הפרידה הכואבת לאחות הלבבות יחד שעדיין מנסים להתג
4,Weiss,N12,Female,2020-12-04 10:58:05,1334814224544133126,n12news פרקליטת הצמרת אילוז שייצגה שורה ארוכה אישים בהם משה קצב אהוד אולמרט קובי פרץ וציפי רפאלי החליטה בגיל 39 לח
5,Segal_Amit,N12,Male,2020-12-09 20:12:17,1336765632705138693,haggai_segal אמירה מרטיטה ערך לתת החיים לחיים ערך רוני דניאל הביא בחדשות 12 מפיה נחמה ישראלי זל מק
6,Segal_Amit,N12,Male,2020-12-09 18:17:41,1336736794130468865,הסקר המלא
7,Segal_Amit,N12,Male,2020-12-09 18:09:22,1336734700791078916,מפלגות המגדירות עצמן ימין 82 מרכז 21 שמאל 6 ערבים 11
8,Segal_Amit,N12,Male,2020-12-09 17:49:46,1336729768125935621,במהדורה המרכזית סקר חשוב שלבשתי מכנסיים בשבילו
9,Segal_Amit,N12,Male,2020-12-09 07:56:52,1336580561297666050,מבורג חליפה בורג החליפי
10,Segal_Amit,N12,Male,2020-12-09 05:40:27,1336546227442360322,יעלון גאה לבשר שאיזנקוט הסכים לרדת למקום 3 לאפשר לסער לכהן כסגני
11,Segal_Amit,N12,Male,2020-12-08 18:58:05,1336384570246254592,ivgiz הייתי רציני כשאמרתי שפרישת סער תפסה אותי המכנסיים למטה
12,Segal_Amit,N12,Male,2020-12-08 18:35:24,1336378864512225281,ותודה לצלמת המוכשרת amalyaduek
13,Segal_Amit,N12,Male,2020-12-07 20:24:31,1336043934343176193,כיתומים
14,Segal_Amit,N12,Male,2020-12-07 20:24:30,1336043932774490115,יעצור תקציבי מדינה ל400000 מתיישבים העברת כספים למאחז חוקי מסוים ימנע הריסה מבנה בדואי חוקי
15,Segal_Amit,N12,Male,2020-12-07 20:24:30,1336043931197378564,יאשר לבקש מעצר קטינות תום ההליכים
16,Segal_Amit,N12,Male,2020-12-07 20:20:42,1336042976099831816,ישמור בתי המחבלים שלמים
17,Segal_Amit,N12,Male,2020-12-07 13:30:45,1335939808691171328,סגן רמטכל יאיר גולן אלוף הארץ בצוקהרה
18,Segal_Amit,N12,Male,2020-12-06 22:00:41,1335705750564384768,3 מזכיר ירושלים יהודי יציב ברחוב מיעוט מוסלמי 4 בפעם הראשונה בחיי הנוחתים מתא נדחקים
19,Segal_Amit,N12,Male,2020-12-06 22:00:40,1335705745376075777,1 שגדל כשעוד פפסי בארץ החרם הערבי מרגש לפנות מזרחה מנתבג לטוס רבת עמון וריאד המדבר
20,Segal_Amit,N12,Male,2020-12-06 22:00:40,1335705745376075777,1 שגדל כשעוד פפסי בארץ החרם הערבי מרגש לפנות מזרחה מנתבג לטוס רבת עמון וריאד המדבר
21,Segal_Amit,N12,Male,2020-12-06 21:43:38,1335701457614594060,והנה תמצית הטענה הויכוח פה נגד האמת הויכוח המילה אמת קודמותיה משוא פני
22,Segal_Amit,N12,Male,2020-12-06 21:17:09,1335694795726008322,136 שמות נדונו בישיבת הועדה למינוי שופטים 61 נבחרו הישיבה ארכה שעות אומר 22 דקות למועמד ואחר יס
23,Segal_Amit,N12,Male,2020-12-06 19:14:26,1335663913103466503,בדיקת עובדות עובדות באמת שיא סאטירי חדש
24,Segal_Amit,N12,Male,2020-12-06 18:47:11,1335657055139618816,היה אמיץ
25,Segal_Amit,N12,Male,2020-12-06 10:57:52,1335538946453987333,מילה ואחכ ידברו איתנו שומרי סף שלל תארי אבירות
26,Segal_Amit,N12,Male,2020-12-05 17:49:55,1335280253862809602,ערב גרושים גרושות
27,Segal_Amit,N12,Male,2020-12-05 16:18:35,1335257270322671617,אמלק בטוח
28,Segal_Amit,N12,Male,2020-12-04 13:14:54,1334848655610802180,השנה לפיד במרץ ננטש ידי גנץ בספטמבר שלח בדצמבר יעלון לגנץ נימוק ולשלח עילה עקץ יעלו
29,Segal_Amit,N12,Male,2020-12-04 09:08:43,1334786699931635716,הפלירט יעלון פרישה מלפיד חריג ביחס להיסטוריה לקדם עצמך כמועמד לרהמ באי אמון חסר סיכוי ואז לבד
30,Segal_Amit,N12,Male,2020-12-04 07:11:25,1334757180680101890,הטור המלא במוסף לשבת yediotahronot
31,Segal_Amit,N12,Male,2020-12-04 07:11:24,1334757178746544128,הסופש רשמי הראשון מערכת הבחירות
32,Nir,N12,Male,2020-12-09 14:08:35,1336674106541023232,aawaldman אנשים 70 מדינות הכנסה נמוכה יחוסנו הקורונה בשנה הבאה שרוב החיסונים נקנו ידי מדינות המע
33,Nir,N12,Male,2020-12-08 07:37:25,1336213276330430465,סגר לילי סגר מללי מציע levinehagai
34,Nir,N12,Male,2020-12-07 20:56:30,1336051983422283776,liferivlin חסרה עמדת משרד המודיעין הסגר הלילי שהגה המלל
35,Nir,N12,Male,2020-12-07 18:21:05,1336012871512317954,אומר בית החולים הגדול בישראל
36,Nir,N12,Male,2020-12-06 20:14:33,1335679039642734594,grimmse suspect that 1350 middle plague epidemic that wiped out every third european wasnt walk park eithe
37,Nir,N12,Male,2020-12-06 07:51:51,1335492134485553152,מרכז המידע והידע דוח אמן מדגיש ובצדק שמספר המאומתים נמוך יחסית מיעוט בדיקות בסוף באותה נשימה
38,Nir,N12,Male,2020-12-05 16:36:39,1335261814813290497,levinehagai סגר מונע טירוף הדעת בסגר כללי מלא הנזק לבריאות לחברה ולכלכלה עולה התועלת בסגר מונע מקבלים הנזק הרב ת
39,Nir,N12,Male,2020-12-05 07:20:24,1335121829011271680,yenisafaken turkeywide weekend curfew becomes effective
40,Nir,N12,Male,2020-12-04 16:13:42,1334893651164540928,rackmada וידאו מיקרוסקופ אלקטרונים שמראה בצורה יפה חלבון הספייק הקורונה האזור החשוב ביותר בחדירת הווירוס התא כמע
41,Nir,N12,Male,2020-12-04 16:10:45,1334892909267660801,ronmaiberg מפרגן קדרה שקית שלמה ההזמנה אזכור
42,Nir,N12,Male,2020-12-04 11:12:08,1334817760765992961,ronmaiberg et tu brute גדלתי ההשתפכויות הקולינאריות שכתבת מהסב האופה זה אביך השבתות בתפוח
